i,section,y_mm,json,flip,y,sub,hemisphere,chunk,acquisition,sample,raw
106,outputs/padded//brain_region_T108_macaque_f001_Mq179-20230428.nii.gz,-13.24,outputs/json//brain_region_T108_macaque_f001_Mq179-20230428.json,False,2716,f001,L,1,synth,2716,outputs/padded//brain_region_T108_macaque_f001_Mq179-20230428.nii.gz
107,outputs/padded//brain_region_T110_macaque_f001_Mq179-20230428.nii.gz,-13.74,outputs/json//brain_region_T110_macaque_f001_Mq179-20230428.json,False,2741,f001,L,1,synth,2741,outputs/padded//brain_region_T110_macaque_f001_Mq179-20230428.nii.gz
108,outputs/padded//brain_region_T112_macaque_f001_Mq179-20230428.nii.gz,-14.24,outputs/json//brain_region_T112_macaque_f001_Mq179-20230428.json,False,2766,f001,L,1,synth,2766,outputs/padded//brain_region_T112_macaque_f001_Mq179-20230428.nii.gz
109,outputs/padded//brain_region_T114_macaque_f001_Mq179-20230428.nii.gz,-14.74,outputs/json//brain_region_T114_macaque_f001_Mq179-20230428.json,False,2791,f001,L,1,synth,2791,outputs/padded//brain_region_T114_macaque_f001_Mq179-20230428.nii.gz
110,outputs/padded//brain_region_T116_macaque_f001_Mq179-20230428.nii.gz,-15.24,outputs/json//brain_region_T116_macaque_f001_Mq179-20230428.json,False,2816,f001,L,1,synth,2816,outputs/padded//brain_region_T116_macaque_f001_Mq179-20230428.nii.gz
111,outputs/padded//brain_region_T118_macaque_f001_Mq179-20230428.nii.gz,-15.74,outputs/json//brain_region_T118_macaque_f001_Mq179-20230428.json,False,2841,f001,L,1,synth,2841,outputs/padded//brain_region_T118_macaque_f001_Mq179-20230428.nii.gz
112,outputs/padded//brain_region_T120_macaque_f001_Mq179-20230428.nii.gz,-16.24,outputs/json//brain_region_T120_macaque_f001_Mq179-20230428.json,False,2866,f001,L,1,synth,2866,outputs/padded//brain_region_T120_macaque_f001_Mq179-20230428.nii.gz
113,outputs/padded//brain_region_T122_macaque_f001_Mq179-20230428.nii.gz,-16.74,outputs/json//brain_region_T122_macaque_f001_Mq179-20230428.json,False,2891,f001,L,1,synth,2891,outputs/padded//brain_region_T122_macaque_f001_Mq179-20230428.nii.gz
114,outputs/padded//brain_region_T124_macaque_f001_Mq179-20230428.nii.gz,-17.24,outputs/json//brain_region_T124_macaque_f001_Mq179-20230428.json,False,2916,f001,L,1,synth,2916,outputs/padded//brain_region_T124_macaque_f001_Mq179-20230428.nii.gz
115,outputs/padded//brain_region_T136_macaque_f001_Mq179-20230428.nii.gz,-17.87,outputs/json//brain_region_T136_macaque_f001_Mq179-20230428.json,False,2948,f001,L,1,synth,2948,outputs/padded//brain_region_T136_macaque_f001_Mq179-20230428.nii.gz
116,outputs/padded//brain_region_T134_macaque_f001_Mq179-20230428.nii.gz,-18.46,outputs/json//brain_region_T134_macaque_f001_Mq179-20230428.json,False,2977,f001,L,1,synth,2977,outputs/padded//brain_region_T134_macaque_f001_Mq179-20230428.nii.gz
117,outputs/padded//brain_region_T132_macaque_f001_Mq179-20230428.nii.gz,-19.17,outputs/json//brain_region_T132_macaque_f001_Mq179-20230428.json,False,3013,f001,L,1,synth,3013,outputs/padded//brain_region_T132_macaque_f001_Mq179-20230428.nii.gz
118,outputs/padded//brain_region_T128_macaque_f001_Mq179-20230428.nii.gz,-19.58,outputs/json//brain_region_T128_macaque_f001_Mq179-20230428.json,False,3033,f001,L,1,synth,3033,outputs/padded//brain_region_T128_macaque_f001_Mq179-20230428.nii.gz
119,outputs/padded//brain_region_T126_macaque_f001_Mq179-20230428.nii.gz,-20.2,outputs/json//brain_region_T126_macaque_f001_Mq179-20230428.json,False,3064,f001,L,1,synth,3064,outputs/padded//brain_region_T126_macaque_f001_Mq179-20230428.nii.gz
