i,section,y_mm,json,flip,y,sub,hemisphere,chunk,acquisition,sample,raw
33,outputs/padded//brain_region_T99_macaque_f001_Mq179-20230428.nii.gz,25.85,outputs/json//brain_region_T99_macaque_f001_Mq179-20230428.json,False,762,f001,L,1,synth,762,outputs/padded//brain_region_T99_macaque_f001_Mq179-20230428.nii.gz
34,outputs/padded//brain_region_T97_macaque_f001_Mq179-20230428.nii.gz,25.37,outputs/json//brain_region_T97_macaque_f001_Mq179-20230428.json,False,786,f001,L,1,synth,786,outputs/padded//brain_region_T97_macaque_f001_Mq179-20230428.nii.gz
35,outputs/padded//brain_region_T95_macaque_f001_Mq179-20230428.nii.gz,24.88,outputs/json//brain_region_T95_macaque_f001_Mq179-20230428.json,False,810,f001,L,1,synth,810,outputs/padded//brain_region_T95_macaque_f001_Mq179-20230428.nii.gz
36,outputs/padded//brain_region_T93_macaque_f001_Mq179-20230428.nii.gz,24.39,outputs/json//brain_region_T93_macaque_f001_Mq179-20230428.json,False,834,f001,L,1,synth,834,outputs/padded//brain_region_T93_macaque_f001_Mq179-20230428.nii.gz
37,outputs/padded//brain_region_T91_macaque_f001_Mq179-20230428.nii.gz,23.88,outputs/json//brain_region_T91_macaque_f001_Mq179-20230428.json,False,860,f001,L,1,synth,860,outputs/padded//brain_region_T91_macaque_f001_Mq179-20230428.nii.gz
38,outputs/padded//brain_region_T89_macaque_f001_Mq179-20230428.nii.gz,23.41,outputs/json//brain_region_T89_macaque_f001_Mq179-20230428.json,False,884,f001,L,1,synth,884,outputs/padded//brain_region_T89_macaque_f001_Mq179-20230428.nii.gz
39,outputs/padded//brain_region_T87_macaque_f001_Mq179-20230428.nii.gz,22.9,outputs/json//brain_region_T87_macaque_f001_Mq179-20230428.json,False,909,f001,L,1,synth,909,outputs/padded//brain_region_T87_macaque_f001_Mq179-20230428.nii.gz
40,outputs/padded//brain_region_T85_macaque_f001_Mq179-20230428.nii.gz,22.39,outputs/json//brain_region_T85_macaque_f001_Mq179-20230428.json,False,934,f001,L,1,synth,934,outputs/padded//brain_region_T85_macaque_f001_Mq179-20230428.nii.gz
41,outputs/padded//brain_region_T81_macaque_f001_Mq179-20230428.nii.gz,22.03,outputs/json//brain_region_T81_macaque_f001_Mq179-20230428.json,False,952,f001,L,1,synth,952,outputs/padded//brain_region_T81_macaque_f001_Mq179-20230428.nii.gz
42,outputs/padded//brain_region_T83_macaque_f001_Mq179-20230428.nii.gz,21.89,outputs/json//brain_region_T83_macaque_f001_Mq179-20230428.json,False,960,f001,L,1,synth,960,outputs/padded//brain_region_T83_macaque_f001_Mq179-20230428.nii.gz
43,outputs/padded//brain_region_T79_macaque_f001_Mq179-20230428.nii.gz,21.4,outputs/json//brain_region_T79_macaque_f001_Mq179-20230428.json,False,984,f001,L,1,synth,984,outputs/padded//brain_region_T79_macaque_f001_Mq179-20230428.nii.gz
44,outputs/padded//brain_region_T77_macaque_f001_Mq179-20230428.nii.gz,20.91,outputs/json//brain_region_T77_macaque_f001_Mq179-20230428.json,False,1008,f001,L,1,synth,1008,outputs/padded//brain_region_T77_macaque_f001_Mq179-20230428.nii.gz
45,outputs/padded//brain_region_T75_macaque_f001_Mq179-20230428.nii.gz,20.42,outputs/json//brain_region_T75_macaque_f001_Mq179-20230428.json,False,1033,f001,L,1,synth,1033,outputs/padded//brain_region_T75_macaque_f001_Mq179-20230428.nii.gz
46,outputs/padded//brain_region_T73_macaque_f001_Mq179-20230428.nii.gz,19.91,outputs/json//brain_region_T73_macaque_f001_Mq179-20230428.json,False,1058,f001,L,1,synth,1058,outputs/padded//brain_region_T73_macaque_f001_Mq179-20230428.nii.gz
47,outputs/padded//brain_region_T71_macaque_f001_Mq179-20230428.nii.gz,19.42,outputs/json//brain_region_T71_macaque_f001_Mq179-20230428.json,False,1083,f001,L,1,synth,1083,outputs/padded//brain_region_T71_macaque_f001_Mq179-20230428.nii.gz
48,outputs/padded//brain_region_T67_macaque_f001_Mq179-20230428.nii.gz,18.45,outputs/json//brain_region_T67_macaque_f001_Mq179-20230428.json,False,1132,f001,L,1,synth,1132,outputs/padded//brain_region_T67_macaque_f001_Mq179-20230428.nii.gz
49,outputs/padded//brain_region_T65_macaque_f001_Mq179-20230428.nii.gz,17.99,outputs/json//brain_region_T65_macaque_f001_Mq179-20230428.json,False,1155,f001,L,1,synth,1155,outputs/padded//brain_region_T65_macaque_f001_Mq179-20230428.nii.gz
50,outputs/padded//brain_region_T63_macaque_f001_Mq179-20230428.nii.gz,17.47,outputs/json//brain_region_T63_macaque_f001_Mq179-20230428.json,False,1180,f001,L,1,synth,1180,outputs/padded//brain_region_T63_macaque_f001_Mq179-20230428.nii.gz
51,outputs/padded//brain_region_T61_macaque_f001_Mq179-20230428.nii.gz,16.98,outputs/json//brain_region_T61_macaque_f001_Mq179-20230428.json,False,1205,f001,L,1,synth,1205,outputs/padded//brain_region_T61_macaque_f001_Mq179-20230428.nii.gz
52,outputs/padded//brain_region_T59_macaque_f001_Mq179-20230428.nii.gz,16.46,outputs/json//brain_region_T59_macaque_f001_Mq179-20230428.json,False,1231,f001,L,1,synth,1231,outputs/padded//brain_region_T59_macaque_f001_Mq179-20230428.nii.gz
53,outputs/padded//brain_region_T57_macaque_f001_Mq179-20230428.nii.gz,15.94,outputs/json//brain_region_T57_macaque_f001_Mq179-20230428.json,False,1257,f001,L,1,synth,1257,outputs/padded//brain_region_T57_macaque_f001_Mq179-20230428.nii.gz
